,Unnamed: 0,Unnamed: 0.1,target1,doc1,origin,Unnamed: 0,Unnamed: 0.1,target2,doc2,origin
1153,1153,0,0.0," FATAL EXCEPTION: main                                                                                      Process: br.com.dina.oauth.instagram.example, PID: 22662                                                                                      java.lang.NoClassDefFoundError: Failed resolution of: Lretrofit/RestAdapter$Builder;                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuthService.<init>(OAuthService.java:50)                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuth1aService.<init>(OAuth1aService.java:74)                                                                                          at com.twitter.sdk.android.core.identity.OAuthActivity.onCreate(OAuthActivity.java:69)                                                                                          at android.app.Activity.performCreate(Activity.java:6237)",square_retrofit_issues_1659,1153,0,1.0," FATAL EXCEPTION: main                                                                                      Process: br.com.dina.oauth.instagram.example, PID: 22662                                                                                      java.lang.NoClassDefFoundError: Failed resolution of: Lretrofit/RestAdapter$Builder;                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuthService.<init>(OAuthService.java:50)                                                                                          at com.twitter.sdk.android.core.internal.oauth.OAuth1aService.<init>(OAuth1aService.java:74)                                                                                          at com.twitter.sdk.android.core.identity.OAuthActivity.onCreate(OAuthActivity.java:69)                                                                                          at android.app.Activity.performCreate(Activity.java:6237)",square_retrofit_issues_1659
1199,1199,4,1.0,_show(Stage)_ : Your dialog will appear at the center of the stage with a default fade-in _Action_.,libgdx_libgdx_issues_5301,1199,4,0.0,_show(Stage)_ : Your dialog will appear at the center of the stage with a default fade-in _Action_.,libgdx_libgdx_issues_5301
1200,1200,5,1.0,"_show(Stage, Action)_: Your dialog will appear on stage with the specified action but not centered!",libgdx_libgdx_issues_5301,1200,5,0.0,"_show(Stage, Action)_: Your dialog will appear on stage with the specified action but not centered!",libgdx_libgdx_issues_5301
1209,1209,1,0.0,See http://www.beyondjava.net/blog/updating-to-mojarra-2-2-11-may-break-your-spring-boot-application/,spring-projects_spring-boot_issues_3216,1209,1,1.0,See http://www.beyondjava.net/blog/updating-to-mojarra-2-2-11-may-break-your-spring-boot-application/,spring-projects_spring-boot_issues_3216
1273,1273,7,0.0,- [SeleniumHQ IRC channel](https://webchat.freenode.net/),SeleniumHQ_selenium_issues_8600,1273,7,1.0,- [SeleniumHQ IRC channel](https://webchat.freenode.net/),SeleniumHQ_selenium_issues_8600
1274,1274,8,0.0,- [SeleniumHQ Slack channel](https://seleniumhq.slack.com/join/shared_invite/enQtODAwOTUzOTM5OTEwLTZjZjgzN2ExOTBmZGE0NjkwYzA2Nzc0MjczMGYwYjdiNGQ5YjI0ZjdjYjFhMjVlMjFkZWJmNDYyMmU1OTYyM2Y),SeleniumHQ_selenium_issues_8600,1274,8,1.0,- [SeleniumHQ Slack channel](https://seleniumhq.slack.com/join/shared_invite/enQtODAwOTUzOTM5OTEwLTZjZjgzN2ExOTBmZGE0NjkwYzA2Nzc0MjczMGYwYjdiNGQ5YjI0ZjdjYjFhMjVlMjFkZWJmNDYyMmU1OTYyM2Y),SeleniumHQ_selenium_issues_8600
1275,1275,9,0.0,- The [Selenium Users](https://groups.google.com/forum/#!forum/selenium-users) google group,SeleniumHQ_selenium_issues_8600,1275,9,1.0,- The [Selenium Users](https://groups.google.com/forum/#!forum/selenium-users) google group,SeleniumHQ_selenium_issues_8600
1487,1487,15,0.0,   git clone https://github.com/putztzu/nfl-elastic-aggregations.git,elastic_elasticsearch_issues_8884,1487,15,1.0,   git clone https://github.com/putztzu/nfl-elastic-aggregations.git,elastic_elasticsearch_issues_8884
1494,1494,22,1.0,From Project root/dataset/mappings/,elastic_elasticsearch_issues_8884,1494,22,0.0,From Project root/dataset/mappings/,elastic_elasticsearch_issues_8884
1496,1496,24,1.0,From Project root/dataset/,elastic_elasticsearch_issues_8884,1496,24,0.0,From Project root/dataset/,elastic_elasticsearch_issues_8884
2446,2446,10,0.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_59802,2446,10,1.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_59802
2523,2523,21,0.0,**Query 2** - show tables from mysql.testdb;,prestodb_presto_issues_3470,2523,21,1.0,**Query 2** - show tables from mysql.testdb;,prestodb_presto_issues_3470
2562,2562,60,0.0,**Query 2** - show tables from mysql.lowercasedb;,prestodb_presto_issues_3470,2562,60,1.0,**Query 2** - show tables from mysql.lowercasedb;,prestodb_presto_issues_3470
2574,2574,72,0.0,**Query 3** - select \* from mysql.lowercasedb.tableone;,prestodb_presto_issues_3470,2574,72,1.0,**Query 3** - select \* from mysql.lowercasedb.tableone;,prestodb_presto_issues_3470
2589,2589,87,0.0,## Scenario 3 - DataBase name and Table name is in lower case letters,prestodb_presto_issues_3470,2589,87,1.0,## Scenario 3 - DataBase name and Table name is in lower case letters,prestodb_presto_issues_3470
2608,2608,106,0.0,**Query 2** - show tables from mysql.lowercasetabledb;,prestodb_presto_issues_3470,2608,106,1.0,**Query 2** - show tables from mysql.lowercasetabledb;,prestodb_presto_issues_3470
2620,2620,118,0.0,**Query 3** - select \* from mysql.lowercasetabledb.tableone;,prestodb_presto_issues_3470,2620,118,1.0,**Query 3** - select \* from mysql.lowercasetabledb.tableone;,prestodb_presto_issues_3470
2654,2654,1,0.0,**RestAdapter$RestHandler line 388,square_retrofit_issues_2742,2654,1,1.0,**RestAdapter$RestHandler line 388,square_retrofit_issues_2742
2861,2861,0,0.0,spring-cloud-gateway 2.3.0 Caused by: java.lang.ClassNotFoundException: javax.validation.ValidationException,spring-projects_spring-boot_issues_24304,2861,0,1.0,spring-cloud-gateway 2.3.0 Caused by: java.lang.ClassNotFoundException: javax.validation.ValidationException,spring-projects_spring-boot_issues_24304
2993,2993,19,1.0,<!-- Feature request -->,elastic_elasticsearch_issues_24774,2993,19,0.0,<!-- Feature request -->,elastic_elasticsearch_issues_24774
2997,2997,23,1.0,<!-- Bug report -->,elastic_elasticsearch_issues_24774,2997,23,0.0,<!-- Bug report -->,elastic_elasticsearch_issues_24774
3006,3006,32,0.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_24774,3006,32,1.0,**OS version** (`uname -a` if on a Unix-like system):,elastic_elasticsearch_issues_24774
3183,3183,4,0.0,Ref: https://github.com/SeleniumHQ/selenium/issues/9588,SeleniumHQ_selenium_issues_9591,3183,4,1.0,Ref: https://github.com/SeleniumHQ/selenium/issues/9588,SeleniumHQ_selenium_issues_9591
3193,3193,14,1.0,Browser Driver version: Compatible with Chrome browser 91,SeleniumHQ_selenium_issues_9591,3193,14,0.0,Browser Driver version: Compatible with Chrome browser 91,SeleniumHQ_selenium_issues_9591
3209,3209,5,1.0,* synchronizationOfMultipleSequencesLoop -  failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136,3209,5,0.0,* synchronizationOfMultipleSequencesLoop -  failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136
3210,3210,6,1.0,* blockingSourceAsnycCancel - failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136,3210,6,0.0,* blockingSourceAsnycCancel - failed 1 time in 12 reruns.,ReactiveX_RxJava_issues_7136
3220,3220,16,1.0,"[2] D. Silva, L. Teixeira and M. d’Amorim, ""Shake It! Detecting Flaky Tests Caused by Concurrency with Shaker,"" 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME), Adelaide, Australia, 2020, pp. 301-311, https://ieeexplore.ieee.org/document/9240694/.",ReactiveX_RxJava_issues_7136,3220,16,0.0,"[2] D. Silva, L. Teixeira and M. d’Amorim, ""Shake It! Detecting Flaky Tests Caused by Concurrency with Shaker,"" 2020 IEEE International Conference on Software Maintenance and Evolution (ICSME), Adelaide, Australia, 2020, pp. 301-311, https://ieeexplore.ieee.org/document/9240694/.",ReactiveX_RxJava_issues_7136
3427,3427,1,1.0,On Spring Boot 2.3.4-RELEASE (and earlier versions),spring-projects_spring-boot_issues_23807,3427,1,0.0,On Spring Boot 2.3.4-RELEASE (and earlier versions),spring-projects_spring-boot_issues_23807
3799,3799,69,1.0,Switching from `JpaRepository` to `PanacheRepository` makes the issue go away.,quarkusio_quarkus_issues_19683,3799,69,0.0,Switching from `JpaRepository` to `PanacheRepository` makes the issue go away.,quarkusio_quarkus_issues_19683
3810,3810,10,0.0,stacktrace:,prestodb_presto_issues_12623,3810,10,1.0,stacktrace:,prestodb_presto_issues_12623
3896,3896,2,1.0,- *Jib version:*,GoogleContainerTools_jib_issues_3346,3896,2,0.0,- *Jib version:*,GoogleContainerTools_jib_issues_3346
3898,3898,4,0.0,"- *Build tool:* <!-- Maven/Gradle, including version -->",GoogleContainerTools_jib_issues_3346,3898,4,1.0,"- *Build tool:* <!-- Maven/Gradle, including version -->",GoogleContainerTools_jib_issues_3346
3917,3917,23,0.0,**`jib-maven-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_3346,3917,23,1.0,**`jib-maven-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_3346
3940,3940,0,0.0,Elasticsearch 6.0.0 GA Maven,elastic_elasticsearch_issues_27387,3940,0,1.0,Elasticsearch 6.0.0 GA Maven,elastic_elasticsearch_issues_27387
3945,3945,1,0.0,#### Error,realm_realm-java_issues_6555,3945,1,1.0,#### Error,realm_realm-java_issues_6555
4006,4006,4,1.0,Linux 4.7.6 (ArchLinux)(node machine) and CentOS 6 (hub machine),SeleniumHQ_selenium_issues_2926,4006,4,0.0,Linux 4.7.6 (ArchLinux)(node machine) and CentOS 6 (hub machine),SeleniumHQ_selenium_issues_2926
4062,4062,32,1.0,Language Bindings version: Ruby 2.5.0 with Capybara,SeleniumHQ_selenium_issues_6921,4062,32,0.0,Language Bindings version: Ruby 2.5.0 with Capybara,SeleniumHQ_selenium_issues_6921
4224,4224,159,0.0,**`jib-gradle-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_1922,4224,159,1.0,**`jib-gradle-plugin` Configuration**: <!-- Delete this section if not used -->,GoogleContainerTools_jib_issues_1922
4226,4226,161,0.0,PASTE YOUR build.gradle CONFIGURATION HERE,GoogleContainerTools_jib_issues_1922,4226,161,1.0,PASTE YOUR build.gradle CONFIGURATION HERE,GoogleContainerTools_jib_issues_1922
4299,4299,5,1.0,An error has occured.,dbeaver_dbeaver_issues_982,4299,5,0.0,An error has occured.,dbeaver_dbeaver_issues_982
4939,4939,12,1.0,"* CUDA version, if used : 9.2",eclipse_deeplearning4j_issues_8191,4939,12,0.0,"* CUDA version, if used : 9.2",eclipse_deeplearning4j_issues_8191
4940,4940,13,1.0,"* NVIDIA driver version, if in use: Latest",eclipse_deeplearning4j_issues_8191,4940,13,0.0,"* NVIDIA driver version, if in use: Latest",eclipse_deeplearning4j_issues_8191
4970,4970,1,1.0,<!-- Bug report -->,elastic_elasticsearch_issues_28200,4970,1,0.0,<!-- Bug report -->,elastic_elasticsearch_issues_28200
5070,5070,63,0.0,See `org.apache.ibatis.ognl.DefaultClassResolver`,mybatis_mybatis-3_issues_1768,5070,63,1.0,See `org.apache.ibatis.ognl.DefaultClassResolver`,mybatis_mybatis-3_issues_1768
5259,5259,3,0.0,Release notes: https://github.com/FasterXML/jackson/wiki/Jackson-Release-2.7,elastic_elasticsearch_issues_16294,5259,3,1.0,Release notes: https://github.com/FasterXML/jackson/wiki/Jackson-Release-2.7,elastic_elasticsearch_issues_16294
5327,5327,4,1.0,Spring Boot Version: 2.3.1 or the dependency netty version: 4.1.50,spring-projects_spring-boot_issues_22245,5327,4,0.0,Spring Boot Version: 2.3.1 or the dependency netty version: 4.1.50,spring-projects_spring-boot_issues_22245
5492,5492,0,0.0,java.lang.ArrayIndexOutOfBoundsException Kotlin @QueryMap Android 6.0.1,square_retrofit_issues_2509,5492,0,1.0,java.lang.ArrayIndexOutOfBoundsException Kotlin @QueryMap Android 6.0.1,square_retrofit_issues_2509
5501,5501,9,1.0,"fun getRefinements(@QueryMap refinements: Map<String, String>): LiveData<ApiResponse<SearchRefinementResponse>>`",square_retrofit_issues_2509,5501,9,0.0,"fun getRefinements(@QueryMap refinements: Map<String, String>): LiveData<ApiResponse<SearchRefinementResponse>>`",square_retrofit_issues_2509
5645,5645,59,1.0,  - cluster: 3 nodes,elastic_elasticsearch_issues_5849,5645,59,0.0,  - cluster: 3 nodes,elastic_elasticsearch_issues_5849
5646,5646,60,1.0,  - node: all physical server (NOT VM),elastic_elasticsearch_issues_5849,5646,60,0.0,  - node: all physical server (NOT VM),elastic_elasticsearch_issues_5849
5647,5647,61,1.0,  - memory: 32GB,elastic_elasticsearch_issues_5849,5647,61,0.0,  - memory: 32GB,elastic_elasticsearch_issues_5849
5648,5648,62,1.0,  - HDD: 100GB (RAID1),elastic_elasticsearch_issues_5849,5648,62,0.0,  - HDD: 100GB (RAID1),elastic_elasticsearch_issues_5849
5649,5649,63,1.0,  - OS: Linux,elastic_elasticsearch_issues_5849,5649,63,0.0,  - OS: Linux,elastic_elasticsearch_issues_5849
5650,5650,64,1.0,- Elasticsearch,elastic_elasticsearch_issues_5849,5650,64,0.0,- Elasticsearch,elastic_elasticsearch_issues_5849
5652,5652,66,1.0,  - index: 11GB,elastic_elasticsearch_issues_5849,5652,66,0.0,  - index: 11GB,elastic_elasticsearch_issues_5849
5653,5653,67,1.0,  - number of replicas: 1,elastic_elasticsearch_issues_5849,5653,67,0.0,  - number of replicas: 1,elastic_elasticsearch_issues_5849
5654,5654,68,1.0,  - shards: 9,elastic_elasticsearch_issues_5849,5654,68,0.0,  - shards: 9,elastic_elasticsearch_issues_5849
6339,6339,8,0.0,`./mvnw compile quarkus:dev` result in error:,quarkusio_quarkus_issues_5521,6339,8,1.0,`./mvnw compile quarkus:dev` result in error:,quarkusio_quarkus_issues_5521
6359,6359,28,0.0,# drop and create the database at startup (use `update` to only update the schema),quarkusio_quarkus_issues_5521,6359,28,1.0,# drop and create the database at startup (use `update` to only update the schema),quarkusio_quarkus_issues_5521
6376,6376,45,1.0, - Quarkus version or git rev: `1.0.0.CR1`,quarkusio_quarkus_issues_5521,6376,45,0.0, - Quarkus version or git rev: `1.0.0.CR1`,quarkusio_quarkus_issues_5521
6563,6563,8,1.0,* Local MySQL database,dbeaver_dbeaver_issues_7786,6563,8,0.0,* Local MySQL database,dbeaver_dbeaver_issues_7786
6626,6626,53,0.0,_No response_,quarkusio_quarkus_issues_19606,6626,53,1.0,_No response_,quarkusio_quarkus_issues_19606
6630,6630,57,0.0,_No response_,quarkusio_quarkus_issues_19606,6630,57,1.0,_No response_,quarkusio_quarkus_issues_19606
6634,6634,61,0.0,_No response_,quarkusio_quarkus_issues_19606,6634,61,1.0,_No response_,quarkusio_quarkus_issues_19606
6638,6638,65,0.0,_No response_,quarkusio_quarkus_issues_19606,6638,65,1.0,_No response_,quarkusio_quarkus_issues_19606
6642,6642,69,0.0,_No response_,quarkusio_quarkus_issues_19606,6642,69,1.0,_No response_,quarkusio_quarkus_issues_19606
6646,6646,73,0.0,_No response_,quarkusio_quarkus_issues_19606,6646,73,1.0,_No response_,quarkusio_quarkus_issues_19606
6826,6826,1,0.0,Relates: https://github.com/elastic/elasticsearch-net/pull/4913,elastic_elasticsearch_issues_60704,6826,1,1.0,Relates: https://github.com/elastic/elasticsearch-net/pull/4913,elastic_elasticsearch_issues_60704
6891,6891,5,1.0,Operations System Windows Xp 32 bit,elastic_elasticsearch_issues_1563,6891,5,0.0,Operations System Windows Xp 32 bit,elastic_elasticsearch_issues_1563
7012,7012,40,1.0,"Emulator only, Nexus 6 and 10, API 26.",google_ExoPlayer_issues_4643,7012,40,0.0,"Emulator only, Nexus 6 and 10, API 26.",google_ExoPlayer_issues_4643
7133,7133,0,1.0,[CI] FlushIT#testSyncedFlushSkipOutOfSyncReplicas failure,elastic_elasticsearch_issues_29392,7133,0,0.0,[CI] FlushIT#testSyncedFlushSkipOutOfSyncReplicas failure,elastic_elasticsearch_issues_29392
7177,7177,19,1.0,<!-- Feature request -->,elastic_elasticsearch_issues_45505,7177,19,0.0,<!-- Feature request -->,elastic_elasticsearch_issues_45505
7181,7181,23,1.0,<!-- Bug report -->,elastic_elasticsearch_issues_45505,7181,23,0.0,<!-- Bug report -->,elastic_elasticsearch_issues_45505
7238,7238,31,1.0,master,elastic_elasticsearch_issues_78913,7238,31,0.0,master,elastic_elasticsearch_issues_78913
7248,7248,3,1.0,- DBeaver version: Community Edition 7.0.3.202004191823,dbeaver_dbeaver_issues_8519,7248,3,0.0,- DBeaver version: Community Edition 7.0.3.202004191823,dbeaver_dbeaver_issues_8519
7259,7259,14,0.0,"`""General -> Network Connections -> Proxy entries"".`",dbeaver_dbeaver_issues_8519,7259,14,1.0,"`""General -> Network Connections -> Proxy entries"".`",dbeaver_dbeaver_issues_8519
7484,7484,1,0.0,`SELECT YEAR(CAST(birth_date AS DATE)) FROM test_emp GROUP BY 1` results in,elastic_elasticsearch_issues_49386,7484,1,1.0,`SELECT YEAR(CAST(birth_date AS DATE)) FROM test_emp GROUP BY 1` results in,elastic_elasticsearch_issues_49386
7669,7669,3,1.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390,7669,3,0.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390
7673,7673,7,1.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390,7673,7,0.0,"> The emitter allows the registration of a single resource, in the form of a Disposable or Cancellable via setDisposable(Disposable) or setCancellable(Cancellable) respectively. The emitter implementations will dispose/cancel this instance when the downstream cancels the flow or after the event generator logic calls Emitter.onError(Throwable), Emitter.onComplete() or when tryOnError(Throwable) succeeds.",ReactiveX_RxJava_issues_6390
7859,7859,13,1.0,node (Kubuntu 18.04 with docker and kvm installed):,SeleniumHQ_selenium_issues_6750,7859,13,0.0,node (Kubuntu 18.04 with docker and kvm installed):,SeleniumHQ_selenium_issues_6750
7879,7879,0,1.0,Error : Could not evaluate condition on org.springframework.cloud.netflix.zuul.ZuulConfiguration#routeLocator due to com/netflix/zuul/ZuulFilter not found,spring-projects_spring-boot_issues_7024,7879,0,0.0,Error : Could not evaluate condition on org.springframework.cloud.netflix.zuul.ZuulConfiguration#routeLocator due to com/netflix/zuul/ZuulFilter not found,spring-projects_spring-boot_issues_7024
7908,7908,18,0.0,"REPRODUCE WITH: gradle :core:integTest -Dtests.seed=DD5109A109812A3D -Dtests.class=org.elasticsearch.cluster.routing.allocation.ShardStateIT -Dtests.method=""testPrimaryFailureIncreasesTerm"" -Dtests.security.manager=true -Dtests.locale=uk -Dtests.timezone=Pacific/Kosrae",elastic_elasticsearch_issues_25287,7908,18,1.0,"REPRODUCE WITH: gradle :core:integTest -Dtests.seed=DD5109A109812A3D -Dtests.class=org.elasticsearch.cluster.routing.allocation.ShardStateIT -Dtests.method=""testPrimaryFailureIncreasesTerm"" -Dtests.security.manager=true -Dtests.locale=uk -Dtests.timezone=Pacific/Kosrae",elastic_elasticsearch_issues_25287
7953,7953,0,0.0,es2.1.1 keep throw DocumentAlreadyExistsException,elastic_elasticsearch_issues_15696,7953,0,1.0,es2.1.1 keep throw DocumentAlreadyExistsException,elastic_elasticsearch_issues_15696
